key_module,front_Original,front_Tone,front_Explain,front_Usage,front_Extended,back_MySentence,back_Corrected,back_Explain,back_Fluency,back_CreatedTime
"I was inundated with A  
",Due to inundated by messages ,informal," 语法不对， due to 加名词，
 inundated with 是内容",,"I am lost about Y ,后面可以跟这样用法","I was inundated with information about the 
decoration and I was lost about the painting  ",,,1,12/1/2025
I felt personally vicitimized by A,Women wearing leggings felt really victimzed ,informal,"幽默夸张的不满或者被冒犯
用personally 最地道，<Means girs> 最地道的梗",,,I was really victimized by my best friend ,"I was personally vicitimzed by my best friend 
",personally更加地道,1,12/1/2025
"I was A when B happens , and I'm like , ""Quote!""","A woman was excercising and she's wearing her headphones ,and she's like , personally victimized",informal,"I'm like 比如中文的我当时的第一个反应是；
   She's like  她当时第一反应，正好又碰上了被动句
happens ; 历史现在时，用于口语叙述， 增加冲击力",,,"I was cooking a complicated dinner when my boss sends a urgent message , and I am like , ""are you kidding ""","I was cooking a complicated dinner when 
my boss sends an urgent text , 
and I am Iike , ""are you kidding ""
",text 更加口语,1,12/1/2025
in/far way too long  口语,"And like most guys , I haven't been to the
 doctor in way too long ",informal,"基本等于 in a long time / ages ago 这件事情是很久以前的事情的   这两个比较中性
","in way too long/ in a long time  一般疑问句/ 否定句
She hasn't visited her hometown in way too long/in a long time 
她上次回家乡，是很久以前的事情了
vs for ages/ for a long time  状态持续的 how long 
in way too long: 非常口语，且extra emotion/ 觉得真的是太久了
in way too long: 否定句
in a long time : 否定，和疑问   
",,"I haven't gone  to the cinema in way too long .
Has you talked to your friends in way too long  ? ","I haven't been   to the cinema in way too long .   

Has you talked to your friends in a long time ? 
",Have been to 去了回来了， have gone to 去了，还在那里；in way too long 只用于否定句,1,12/5/2025
"I'll be doing sth that we should be doing ,but aren't","I'll be asking questions we should be asking ,but aren't",informal,"will be doing : 一般比较formal， 说明持续，且是主动的
what's your plan ? I will be focusing on long-term growhth strategies. ",,,"She'll be challenging the project the managers 
should be challenging ,but aren't ",,,1,12/5/2025
"talk science / without  jargon /
 real answers/the stuff you acutally wonder about ","We'll talk science without jargon
 and get you real answers to the stuff that you
 actually wonder about ",informal,"talk science, talk politics, talk business 正事 , talk tech 更加口语
stuff  口语常见
",,"
real answer ； 靠谱的，不是敷衍的回复= true answer =   I want the real answer 我要听实话
actually：澄清实时， really ： ？？？？
Real answer   一般性表达， 正确，靠谱的答案","I always think the science stuff is too complicate and I am not be able to get their jargons.
No , you can find an easy way to expalin science and the real answers. It will help to you to solve the stuff that you actually wander about
","I always think the science stuff is too complicate and I am not be able to get their jargons.
But actually , you can find an easy way to expalin science and  real answers. It will help to you to solve the stuff  you actually wander about",,1,12/5/2025
"spill on 透露，暴露,分享八卦
",Sb spills on read carpet hacks ,informal,informal:  spill +sth  ：,,"
spill the tea  说八卦， 
spill the beans 透露秘密 spill the details 说出细节
spill on  her relationship ,spill on what happened.","Come on , spill the story between you and your new bf
","Come , spill . Tell me everything about your new bf
","spill the story 不常见   between 太正式
Spill the tea about/on XXXX, spill the details ",1,12/8/2025
hack   小技巧 、窍门,Sb spills on read carpet hacks ,informal,"社交媒体，youtube上常用
life hacks,  travel hacks,  study hacks",,,"My communting hack is getting early to the office 
and there is no traffic jam","My communting hack is getting to the office early to beat the traffice
","
--  avoid traffic:避开交通阻塞  beat the traffic 赶在高峰前（口语），
shik the rush hour  避开高峰期
一般traffic就是交通量大， 常用 , traffic jam具体事件
 He drove his car carfully to the office today",1,12/8/2025
"We saw/heard sth and we were like
 ,""What's the story with this ?""","We saw the pictures and we were like,
 "" what's the story with this?""",informal,"this: this situation, this whole thing
what is this? 这群乱七八糟的是啥
what's the story with XXX 口语化，
","具体vs what's going on ?/what's the deal with/
What's the story with your new haircut. ","主语+saw/heard + 某事
+ and 主语 were like ， + 疑问句","We saw his car and we were like, ""how did he get so much money?""
We heard the rumor and we were like ""seriously?""
We received the invitation and we were like ,""what's the story with this? ""
","  We saw his car and we were like, ""how did he get so much money?""/how did he afford this
We heard the rumor and we were like ""seriously?""
We received the invitation and we were like ,""what's the story with this? """,,1,12/8/2025
"Get real with sb about sth 坦率
get real 面对现实，别做梦了",She gets real about the inspiration behind her roles,informal,,"He got real with me about his problem
Come on , get real. That plan will never work?","keep it real:   做真实的自己
for real:  认真的
real talk , 说实话
reality check   认清现实
for real  == seriously ， 前者更加口语化","we should get real about the budget /
We should get real about the risk",,,1,12/8/2025
there is no end to + 名称、句子 ,there is no end to how people will behave ,informal,"口语的， 带有感情色彩的。要么批评，要么赞美，
formal ： endless    没完没了/ 无穷无尽的，没有尽头的","there is no end to +句子
1   how children can surprise you ：can 能力、可能性,比较轻松的口吻，且是正面的
2  how people will behave ： will 100% ，口气比较强，负面的
why  how： how: ways, manners, styles 方式",,"there is no end to  his complains 
there is no end to energy of the city 
there is no end to how she can create /her creativity
There is no end to how children can be crious about the world 
","there is no end to  his complains 
there is no end to the energy of the city 
there is no end to her creativity
There is no end to how curious children can be about the world    
",how此处是程度,1,12/9/2025
 to put sb on notice ,"The manager put the team on notice 
about upcoming deadlines",informal,口语的：警告，提醒。  正式 warn， 不是通知 give notice ,"口吻： playful 开玩笑， 稍微有点不那么冒犯
The teacher put students on notice that cheating wouldn't be tolerated    虽然是口语的用法，但是这个本身算是很严重的警告了",,"She  put her rivals on notice to be careful 
The teacher put her students on notice  not to be late 
He put us on notice about the delay of the meeting ","She  put her rivals on notice,warning them to be careful  /She warn her rivals to be carful 
The teacher put her students on notice  not to be late 
He gave us notice about the delay of the meeting ","我的句子这句话变成让他们注意脚下，走路小心点啥的，加上warning them 句子没有歧义；
give sb notice 中性，通知",1,12/9/2025
triggered ,"I feel very ,very triggered by this ",informal,"I'm upset, offended,  非正式， 但是有点讽刺","表明情绪被调用起来了，我感到被冒犯了， 被刺激的了
总而言之，把我不好的情绪带动起来了",,"I feel triggered by a bunch of criticisms
I felt trigged  when I am inundated with bad news.
My boy friend hasn't talked to me in way too long and I felt triggered by his attitude 
","I feel triggered by all the criticisms
I felt trigged  when I was inundated with bad news.
My boy friend hasn't talked to me in way too long and I felt triggered by his attitude 
",criticism 单数的时候，表示整体,1,12/9/2025
